Date,Open,High,Low,Close,Adj Close,Volume
2020-04-09,30571.18945,31225.19922,30420.2207,31159.61914,31159.61914,18800
2020-04-13,31195.7207,31195.7207,30474.15039,30690.01953,30690.01953,16100
2020-04-15,31277.10938,31568.35938,30222.07031,30379.81055,30379.81055,23600
2020-04-16,30095.50977,30800.19922,30016.16992,30602.60938,30602.60938,16900
2020-04-17,31656.67969,31718.73047,30960.93945,31588.7207,31588.7207,22200
2020-04-20,32056.18945,32056.4707,31490.25977,31648,31648,17200
2020-04-21,30836.18945,30900.11914,30378.25977,30636.71094,30636.71094,19700
2020-04-22,30856.14063,31471.14063,30578.55078,31379.55078,31379.55078,21000
2020-04-23,31646.44922,31959.01953,31292.91992,31863.08008,31863.08008,24400
2020-04-24,31426.61914,31842.24023,31278.26953,31327.2207,31327.2207,17600
2020-04-27,31659.03906,32103.69922,31651.58008,31743.08008,31743.08008,12900
2020-04-28,32101.91016,32199.91016,31661.33984,32114.51953,32114.51953,15600
2020-04-29,32311.03906,32897.58984,32171.65039,32720.16016,32720.16016,16000
2020-04-30,33381.19141,33887.25,33354.92969,33717.62109,33717.62109,21100
2020-05-04,32748.14063,32748.14063,31632.01953,31715.34961,31715.34961,18300
2020-05-05,32182.90039,32264,31403.57031,31453.50977,31453.50977,19200
2020-05-06,31577.63086,31970.83984,31158.75,31685.75,31685.75,19200
2020-05-07,31677.68945,31705.25,31362.86914,31443.38086,31443.38086,19900
2020-05-08,32083.32031,32088.50977,31598,31642.69922,31642.69922,15900
2020-05-11,32030.33984,32301.58008,31500.86914,31561.2207,31561.2207,18100
2020-05-12,31342.92969,31536.89063,30844.66016,31371.11914,31371.11914,23100
2020-05-13,32841.87109,32845.48047,31901.91992,32008.60938,32008.60938,18400
2020-05-14,31466.33008,31630.93945,31052.65039,31122.89063,31122.89063,15200
2020-05-15,31296.2793,31296.2793,30770.48047,31097.73047,31097.73047,13000
2020-05-18,31248.25977,31248.25977,29968.44922,30028.98047,30028.98047,19500
2020-05-19,30450.74023,30739.96094,30116.82031,30196.16992,30196.16992,18700
2020-05-20,30159.58984,30878.31055,30157.75,30818.60938,30818.60938,16100
2020-05-21,30904.28906,31188.78906,30765.32031,30932.90039,30932.90039,15500
2020-05-22,30822.7793,31107.91016,30474.88086,30672.58984,30672.58984,20600
2020-05-26,30864.26953,31086.69922,30512.14063,30609.30078,30609.30078,188300
2020-05-27,30793.10938,31660.59961,30525.67969,31605.2207,31605.2207,20500
2020-05-28,31827.80078,32267.23047,31641.76953,32200.58984,32200.58984,27500
2020-05-29,32041.28906,32480.51953,31823.80078,32424.09961,32424.09961,37100
2020-06-01,32906.05078,33673.82813,32876.55078,33303.51953,33303.51953,22900
2020-06-02,33450.19141,33866.62891,33301.28906,33825.53125,33825.53125,75600
2020-06-03,34185.41016,34488.69141,34027.5,34109.53906,34109.53906,18400
2020-06-04,34072.5,34310.14063,33711.23828,33980.69922,33980.69922,17900
2020-06-05,34198.55078,34405.42969,33958.01953,34287.23828,34287.23828,24600
2020-06-08,34841.17188,34927.80078,34211.82813,34370.57813,34370.57813,25700
2020-06-09,34520.78906,34811.28906,33881.19141,33956.69141,33956.69141,19200
2020-06-10,34029.14063,34350.17188,33949.46094,34247.05078,34247.05078,15500
2020-06-11,34214.69141,34219.39063,33480.42188,33538.37109,33538.37109,20900
2020-06-12,32436.68945,33856.26953,32348.09961,33780.89063,33780.89063,23000
2020-06-15,33670.55078,33670.55078,32923.73828,33228.80078,33228.80078,18400
2020-06-16,33853.71875,34022.01172,32953.30078,33605.21875,33605.21875,27400
2020-06-17,33438.30859,33933.66016,33332.96094,33507.92188,33507.92188,20200
2020-06-18,33371.51953,34276.01172,33371.51953,34208.05078,34208.05078,21200
2020-06-19,34335.37891,34848.37109,34136.39063,34731.73047,34731.73047,27900
2020-06-22,34892.03125,35213.51953,34794.39844,34911.32031,34911.32031,25100
2020-06-23,35015.73047,35482.16016,34843.69141,35430.42969,35430.42969,25200
2020-06-24,35679.73828,35706.55078,34794.92969,34868.98047,34868.98047,26600
2020-06-25,34525.39063,35081.60938,34499.78125,34842.10156,34842.10156,24600
2020-06-26,35144.78125,35254.87891,34910.33984,35171.26953,35171.26953,24800
2020-06-29,34926.94922,35032.35938,34662.05859,34961.51953,34961.51953,18300
2020-06-30,35168.30078,35233.91016,34812.80078,34915.80078,34915.80078,18500
2020-07-01,35009.58984,35467.23047,34927.19922,35414.44922,35414.44922,19400
2020-07-02,35604,36014.92188,35595.35938,35843.69922,35843.69922,20600
2020-07-03,36025.37891,36110.21094,35872.37891,36021.42188,36021.42188,16500
2020-07-06,36313.46094,36661.66016,36254.01953,36487.28125,36487.28125,22300
2020-07-07,36660.35156,36723.26953,36271.08984,36674.51953,36674.51953,20600
2020-07-08,36738.37891,36828.42969,36234.17188,36329.01172,36329.01172,24800
2020-07-09,36450.69141,36806.30078,36422.30078,36737.69141,36737.69141,17400
2020-07-10,36555.12891,36748.89063,36401.10938,36594.32813,36594.32813,20900
2020-07-13,36880.66016,37024.19922,36533.96094,36693.69141,36693.69141,16500
2020-07-14,36517.28125,36538.10156,35877.42188,36033.05859,36033.05859,14100
2020-07-15,36314.76172,36810.25,35894.96094,36051.80859,36051.80859,23500
2020-07-16,36401.19922,36524.62109,36038.41016,36471.67969,36471.67969,18500
2020-07-17,36547.75,37125.98047,36512.92188,37020.14063,37020.14063,16500
2020-07-20,37409.03125,37478.87109,37185.78125,37418.98828,37418.98828,20100
2020-07-21,37823.60938,37990.55078,37742.05078,37930.32813,37930.32813,22700
2020-07-22,38178.07031,38199.26953,37601.62109,37871.51953,37871.51953,22300
2020-07-23,37814.92188,38225.03125,37738.58984,38140.46875,38140.46875,19600
2020-07-24,37949.58984,38235.73047,37748.41016,38128.89844,38128.89844,19900
2020-07-27,38275.33984,38275.33984,37769.44141,37934.73047,37934.73047,18600
2020-07-28,38052.17969,38554.71875,37998.12891,38492.94922,38492.94922,15500
2020-07-29,38427.14844,38617.03125,37884.41016,38071.12891,38071.12891,17600
2020-07-30,38262.82813,38413.80859,37678.42188,37736.07031,37736.07031,14800
2020-07-31,37847.87891,37897.78125,37431.67969,37606.89063,37606.89063,20200
2020-08-03,37595.73047,37596.01953,36911.23047,36939.60156,36939.60156,14300
2020-08-04,37092.85938,37745.60156,36987.73047,37687.91016,37687.91016,15100
2020-08-05,37892.35938,38139.96094,37550.60156,37663.32813,37663.32813,19800
2020-08-06,37946.80078,38221.39844,37755.10156,38025.44922,38025.44922,16600
2020-08-07,37951.07031,38109.67969,37787.37891,38040.57031,38040.57031,15300
2020-08-10,38168.42188,38430.69141,38073.28906,38182.07813,38182.07813,17200
2020-08-11,38371.33984,38556.26953,38313.05859,38407.01172,38407.01172,18700
2020-08-12,38321.12891,38414.37109,38125.80859,38369.62891,38369.62891,25300
2020-08-13,38456.64063,38516.85156,38215.05078,38310.48828,38310.48828,15400
2020-08-14,38432.94141,38540.57031,37654.92188,37877.33984,37877.33984,18600
2020-08-17,38062.07031,38119.37891,37734.14063,38050.78125,38050.78125,21500
2020-08-18,38084.69922,38571.23047,38062.01172,38528.32031,38528.32031,13600
2020-08-19,38727.89063,38788.51172,38550.64844,38614.78906,38614.78906,12800
2020-08-20,38283.89844,38402.44922,38155.78125,38220.39063,38220.39063,15800
2020-08-21,38471.92969,38579.82813,38411.37109,38434.71875,38434.71875,16800
2020-08-24,38566.96094,38894.94141,38545.76172,38799.07813,38799.07813,28100
2020-08-25,38948.46094,39008.89063,38679.67188,38843.87891,38843.87891,15700
2020-08-26,38930.17969,39111.55078,38765.08984,39073.92188,39073.92188,16400
2020-08-27,39293.53125,39326.98047,39046.94141,39113.46875,39113.46875,14500
2020-08-28,39264.48047,39579.57813,39235.03125,39467.30859,39467.30859,22500
2020-08-31,39888.14844,40010.17188,38395.89063,38628.28906,38628.28906,27900
2020-09-01,38754,39226.82031,38542.10938,38900.80078,38900.80078,22000
2020-09-02,38892.64063,39141.83984,38736.21875,39086.03125,39086.03125,17100
2020-09-03,39165.80078,39236.35938,38943.42969,38990.94141,38990.94141,9200
2020-09-04,null,null,null,null,null,null
2020-09-07,38284.78125,38519.92188,38060.73828,38417.23047,38417.23047,0
